"Début du rapport","Compte-rendu terminé","Nom de la campagne","Diffusion des campagnes",Résultats,"Indicateur de résultats","Coût par résultats","Budget des ensembles de publicités","Type de budget ensemble de pub","Montant dépensé (CAD)",Impressions,Portée,Fréquence,"CPM (Coût pour 1 000 impressions) (CAD)",Achats,Fin,"Paramètre d’attribution","ROAS des achats (retour sur les dépenses publicitaires)","Résultats (initiaux)","Indicateur de résultats (initial)"
2026-06-21,2026-07-20,,0,,,,0,0,547.71,55879,3663,15.254982,9.801714,,,"Paramètres d’attribution multiple",,,
2026-06-21,2026-07-20,quebec-fr-target_cpa-14072020,inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","Paramètres d’attribution multiple",,,
2026-06-21,2026-07-20,"notoriété metro",inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"couverture metro",inactive,0,reach,,40,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Promo La Récolte",inactive,0,reach,,5.7,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,"TOF- LOOK A LIKE. WIRES AGENCY",inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,"MOF-WIRES AGENCY",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,"VIDÉO HISTOIRE - QUÉBEC",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Notoriété ADAPT2",inactive,0,reach,,7,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"CONCOURS 2450$",inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Ontario",inactive,0,reach,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Test Campagne",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF | Phase 1 - Traffic",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Funnel - Notoriété",inactive,,,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Funnel - Traffic",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Influenceurs - Automne 2024",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Noël 2024",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Conversion - 2025",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",,,
2026-06-21,2026-07-20,"Ginger Beer - Micro-Influenceurs 2025",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Mars 2026 - Nouveaux Clients",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",,,
2026-06-21,2026-07-20,"Prospection CBO - Québec",active,12,actions:offsite_conversion.fb_pixel_purchase,18.50083333,8,"Par jour",222.01,15401,1918,8.029718,14.415298,12,"En cours","Paramètres d’attribution multiple",6.38719,,
2026-06-21,2026-07-20,"Prospection CBO - Ontario",active,21,actions:offsite_conversion.fb_pixel_purchase,15.50952381,12,"Par jour",325.7,40478,2836,14.27292,8.046346,21,"En cours","Paramètres d’attribution multiple",6.893675,,
2026-06-21,2026-07-20,"Ontario - Retargeting - Engaged audience",inactive,,,,25,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Engagement - Athana FEST",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne_Newsletter _Ontario",not_delivering,,,,12,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",,,
2026-06-21,2026-07-20,Campagne_Newsletter_Ontario_Warm,inactive,,,,12,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours, vue à 1 jour ou vue avec interaction à 1 jour",,,
2026-06-21,2026-07-20,remarketing-quebec-all_visitors-05032020,inactive,,,,12.5,"Par jour",0,0,0,0,0,,"En cours","clic à 28 jours ou vue à 7 jours",,,
2026-06-21,2026-07-20,quebec-shop_online-27_65+-target_cpa,inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 28 jours ou vue à 7 jours",,,
2026-06-21,2026-07-20,quebec-fr-target_cpa-12062020,inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","Paramètres d’attribution multiple",,,
2026-06-21,2026-07-20,quebec-fr-target_cpa-28072020,inactive,,,,12,"Par jour",0,0,0,0,0,,"En cours","clic à 28 jours ou vue à 7 jours",,,
2026-06-21,2026-07-20,quebec-en-target_cpa-29072020,inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,ontario-en-target_cpa-29072020,inactive,,,,40,"Par jour",0,0,0,0,0,,"En cours","clic à 28 jours ou vue à 7 jours",,,
2026-06-21,2026-07-20,"promo fût février fr",inactive,0,reach,,40,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF- BROAD. WIRES AGENCY - awareness",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF- LOOK A LIKE. WIRES AGENCY - awareness - novembre -",inactive,,,,20,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,Remarketing,inactive,,,,20,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,RETARGETING-DEC,inactive,,,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,NOTORIÉTÉ-DEC,inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"NOTORIÉTÉ TORONTO",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Acquisition/Notoriété Gutsy",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,Retargeting,inactive,,,,12,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,"Moisson PROMO AVRIL",inactive,0,reach,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"DRAGON20 LANCEMENT - Notoriété",inactive,0,reach,,30,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"OEIL DU DRAGON",inactive,,,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"DRAGON20 - Remarketing - Copie",inactive,0,reach,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Notoriété kombucha été",inactive,,,,7,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"CONCOURS 2450$",inactive,,,,20,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"3 super plantes - Copie",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Remarketing - Copie",inactive,,,,20,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"BOF | Loyalty",inactive,,,,25,"Par jour",0,0,0,0,0,,1969-12-31,-,,,
